reference_number,pub_label,year,doi,affiliation,country,vaccine_type,regimen,complication,age,include,qBR_measure,stratified_by_age,stratified_by_sex,benefit_measure,authors_conclusion,condition,comment
21,"Kalafat et al., 2022",2022,10.1016/j.ajog.2022.05.020,St George’s University of London,UK,multiple,primary,"myocarditis, anaphylaxis",18-?,TRUE,"Rate of outcomes between vaccinated and unvaccinated, rate of outcomes between COVID-19 infection and vaccination",FALSE,TRUE,number of complications due to COVID-19 or vaccines,benefit,higher risk of Intrapartum fever,"Assessing effects on pregnant women, without specifying the age range. Does not directly compare benefits with risks."
22,"Krug et al., 2022",2022,10.1111/eci.13759,University of California,USA,Pfizer,primary,myocarditis, 12-17,TRUE,ratio,TRUE,TRUE,prevented hospitalization,harm,Benefit for boys without prior COVID-19 infection if first dose. Mostly harm otherwise. ,Even one dose is harm for boys during delta
23,"Lau et al., 2021",2021,10.1016/j.vaccine.2021.10.079,University of Queensland,Australia,AstraZeneca,primary,TTS,10-,TRUE,"rate, bayesian network",TRUE,TRUE,"prevented case, death",benefit,Comparable for 20-29 years old at low transmission,"Essentially, over 10 times more likely to die from COVID-19 related TTS than vaccine-related TTS. But they only show the data grouped by either sex or age, not both.They show a graph of prevented death in young adult and underage, but the bars are too small to see and can't be compared with TTS-related death. "
24,"Lewis et al., 2022",2022,10.1038/s41598-022-11374-7,University of Oxford,UK,NA,primary,NA,NA,TRUE,NA,NA,NA,prevented death,benefit,"This is based on mathematical modeling, and is difficult to compare with real-life situation. ","Essentially, the paper explores what the better choice for people is when vaccination shows early positive results but results from stage 3 clinical trials are not yet available. "
25,"Liu et al., 2022",2022,10.1016/j.lanepe.2022.100381,London School of Hygiene & Tropical Medicine,UK,AstraZeneca,primary,TTS,NA,TRUE,benefit-risk ratio,FALSE,FALSE,prevented death,benefit,NA,The paper primarily focuses on identifying the optimal strategy of vaccination in terms of dose and intervals. 
26,"MacIntyre et al., 2021",2021,10.1016/j.vaccine.2021.07.013,University of New South Wales,Australia,AstraZeneca,primary,TTS,18-59,TRUE,rate,FALSE,FALSE,prevented death,harm,"Harm at low transmission, comparable at medium transmission, slight benefit at high transmission. ","The data is not stratified by age, but included 18-59 years old. For this, ""adult"" category here includes 18-59 instread of 31-59 "
27,NA,2021,10.15585/mmwr.mm7017e4,ACIP,USA,Janssen,primary,TTS,18-59,FALSE,rate,TRUE,TRUE,"prevented hospitalization, ICU, death",benefit,NA,"Updated version is included in the corpus. ""adult"" includes 18-49 years old."
28,NA,2021,NA,ACIP,USA,multiple,primary,adverse events,NA,FALSE,NA,NA,NA,NA,benefit,NA,Not available anymore
29,NA,2022,10.1016/j.vaccine.2022.04.004,University of Queensland,Australia,AstraZeneca,primary,TTS,0-,FALSE,NA,NA,NA,simulated number of death due to COVID or vaccine-related TTS,NA,NA,"The focus of the paper is to develop a Bayesian network platform for BRA. As the related paper from the same group is included in 23, this paper is excluded. "
30,"Private_firm, 2021",2021,NA,Private_firm,USA,mRNA,primary,adverse events,NA,TRUE,rate,FALSE,FALSE,number of cases between vaccinated and unvaccinated,benefit,always,The data is not stratified by age.
31,"Myers et al., 2022",2022,10.1016/j.prrv.2022.03.002,Sheba Medical Center,Israel,Pfizer,primary,myocarditis,12-,TRUE,rate,TRUE,FALSE,Rate of serious illness or being ventilated by COVID-19 compared with by vaccines,benefit,"Rate of vaccine-related myocarditis is comparable to the rate of being ventilated by COVID-19, but higher that the rate of serious illness by COVID-19. ","""underage"" is 0-19. The AE rate is stratified by sex and age, but the rate of serious COVID is only stratified by age, so  they are not really comparable. "
32,NA,2021,NA,ACIP,USA,Janssen,primary,TTS,18-,FALSE,rate,TRUE,TRUE,"prevented hospitalization, ICU, death",benefit,NA,update of ref 27 as a presentation. Article version is included as ref 33. 
33,"Oliver et al., 2022",2022,10.15585/mmwr.mm7103a4,ACIP,USA,"Janssen, mRNA",primary,TTS,18-,TRUE,rate,TRUE,TRUE,"prevented hospitalization, ICU, death",benefit,always,"Article version of ref 32. Age groups are 18-49, 50-64, > 65"
34,"Ouldali et al., 2022",2022,10.1016/j.lanepe.2022.100393,University of Paris,France,mRNA,primary,"MIS-C, myocarditis", 12-17,TRUE,rate,TRUE,TRUE,prevented sirous illness,benefit,NA,Essentially showing children are more likely to have hyper-inflammation syndrome because of COVID-19 than vaccines. 
35,"Palladino et al., 2021",2021,10.3390/vaccines9060618,University “Federico II” of Naples,Italy,AstraZeneca,primary,TTS,20-59,TRUE,rate,TRUE,FALSE,prevented death,benefit,"Comparable for young adult (20-29), but would be harm if the TTS case was significantly underreported. ",
36,"Rosenblum et al., 2021",2021,10.15585/mmwr.mm7032e4,ACIP,USA,"Janssen, mRNA",primary,"GBS, TTS, myocarditis",18-,TRUE,rate,TRUE,TRUE,"prevented cases, hospitalization, ICU, death",benefit,always,
37,"ACIP, 2021-1",2021,NA,ACIP,USA,Pfizer,primary,myocarditis,16-29,TRUE,rate,TRUE,TRUE,"prevented hospitalization, ICU, death",benefit,always,"Age groups are 16-17, 18-24, 25-29"
38,"Shiri et al., 2022",2022,10.3390/vaccines10020140,University of Exeter Medical School,UK,mRNA,"primary, booster",myocarditis,10-,TRUE,rate,TRUE,FALSE,"Number of events (AE, infection, hospitalization, death, long COVID) among different vaccine coverage.",benefit,Harm for 10-19 at low transmission,"10-19 years-old is included in underage. This paper explores the benefit-risk balance of booster vaccines, and shows that population benefits (likely individual benefits too) of booster vaccines outweigh risks. "
39,"Sinclair et al., 2022",2022,10.1038/s41541-022-00517-6,University of Queensland,Australia,Pfizer,"primary, booster",myocarditis,12-,TRUE,rate,TRUE,TRUE,"prevented symptomatic infection, death",benefit,Comparable for 20-29 male and 12-19 female at low transmission,
40,"Sungkyunkwan University, 2022",2022,10.3390/vaccines10122029,Sungkyunkwan University,South Korea,multiple,primary,adverse events,18-,TRUE,rate of preference score calculated from weighed risks,FALSE,FALSE,"prevented infection, serious illness",not given,NA,"Results are not stratified by age. Assessing benefit-risk balance of four vaccines through considering three criteria (infection of > 17, infection of > 59, SAE). 22 professionals weighted each criterion. "
41,"Hillel Yaffe Medical Center, 2022",2022,10.3390/vaccines10010081,Hillel Yaffe Medical Center,Israel,mRNA,primary,"myocarditis, anaphylaxis", 5-11,TRUE,NA,NA,NA,many,benefit,NA,Does not provide quantitative benefit-risk measures
42,"Tran et al., 2021",2021,10.2807/1560-7917.ES.2021.26.26.2100533,Institut Pasteur,France,AstraZeneca,primary,TTS,18-,TRUE,rate,TRUE,FALSE,"prevented ICU, death",benefit,Mostly benefit across the all age groups when ICU admission by COVID and vaccine is compared. Mostly comparable for  18-49 when death is compared.,Benefits for  > 54 years old. Comparable for young adults.
43,"ACIP, 2021-2",2021,NA,ACIP,USA,mRNA,primary,myocarditis,12-,TRUE,rate,TRUE,TRUE,"prevented hospitalization, ICU, death",benefit,always,second dose.
44,NA,2022,10.15585/mmwr.mm7111a4,ACIP,USA,Moderna,primary,"myocarditis, anaphylaxis",18-,FALSE,NA,NA,NA,"prevented hospitalization, ICU, death",NA,NA,"The article rcommends 8 weeks interval between two doses of the primary series vaccination, instead of the original 4 weeks. Benefit-risk assessment is not the primary focus of the article. "
45,"Winton Centre, 2021",2021,NA,Winton Centre,UK,AstraZeneca,primary,TTS,20-,TRUE,rate,TRUE,FALSE,prevented ICU,not given,comparable for 20-29 at low transmission,This report compare TTS and prevented ICU admission
46,"Woodworth et al., 2021",2021,10.15585/mmwr.mm7045e1,ACIP,USA,Pfizer,primary,myocarditis, 5-11,TRUE,NA,NA,NA,NA,benefit,NA,They do not provide quantitative benefit-risk measure
47,"Yogurtcu et al., 2023",2023,10.1016/j.jvacx.2023.100325,FDA,USA,Moderna,primary,myocarditis,18-64,TRUE,rate,TRUE,TRUE,"prevented cases, hospitalization, ICU, death",benefit,always,"Age groups are 18-25, 26-35, 36-45, 46-55, 56-64"
48,"Gonzalez et al., 2025",2025,10.1016/j.landig.2025.02.001,European Medicines Agency,Netherlands,AstraZeneca,primary,TTS,10-,TRUE,rate,TRUE,FALSE,"prevented cases, hospitalization, ICU, death",benefit,always,"Net benefit in all groups when compared with prevented hospitalization, comparable for 10-19 when compared with prvented ICU admission. qBR measure is not stratified by sex. "
49,"Kitano et al., 2024",2024,10.1093/jpids/piae002,John Hopkins,USA,mRNA,primary,"myocarditis, anaphylaxis",6 month - 4 years,TRUE,"benefit-risk ratio, as calculated from loss of quality-adjusted life years due to disease burden",TRUE,TRUE,many,benefit,always,"They only used active surveillance systems as data sources, excluding passive surveillance systems. "
50,"Tran et al., 2024",2024,10.1038/s41541-024-00960-7,Northwestern University,USA,mRNA,primary,TTS,18-,TRUE,Rate of having thromboembolic events due to CIVID compared with vaccination,FALSE,FALSE,Prevented thromboemboic events,benefit,depends on vaccine efficacy,"No age-stratified data. vaccination decreases thromboembolic event risk, especially during high infection rate periods ."
51,"Copland et al., 2024",2024,10.1038/s41467-024-47745-z,University of Oxford,UK,"AstraZeneca, mRNA","primary, booster","myocarditis, anaphylaxis, GBS", 5-17,TRUE,Rate of serious illness by vaccine compared with by COVID-19,TRUE,FALSE,prevented illness,benefit,"Incidence rates of myocarditis due to vaccine or COVID-19 are comparable, but the incidence rate of MIC due to COVID is much higher",
52,"Bourdon et al., 2024",2024,10.48550/arXiv.2410.11811,University of Virginia,USA,Moderna,primary,myocarditis,18-25,TRUE,benefit-risk ratio,TRUE,TRUE,prevented hospitalization,harm,"The exact benefit-risk ratios range between 0.09 - 0.67, and may be interpreted as being comparable-to-harm.",Preprint. Assuming omicron and booster
53,"Kitano et al., 2023",2023,10.1093/aje/kwad058,John Hopkins,USA,mRNA,"primary, booster","myocarditis, anaphylaxis",5-,TRUE,"benefit-risk ratio, as calculated from loss of quality-adjusted life years due to disease burden",TRUE,TRUE,many,benefit,always,
